Chapter_Number,Chapter_Title_KN,Chapter_Title_EN,Page_Range,Kannada_Term,English_Term,Transliteration,Category,Importance_Level,Frequency_in_Chapter,Kannada_Definition,English_Definition,Example_KN,Example_EN,Mnemonic_or_Tip
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಪೈಥಾಗೋರಸ್ ತ್ರಿವಳಿಗಳು,Pythagorean Triplets,Pythagoras Trivaligalu,Geometry & Number Theory,Core / Essential,0,"a² + b² = c² ಸಂಬಂಧವನ್ನು ತೃಪ್ತಿಪಡಿಸುವ ಮೂರು ಧನಾತ್ಮಕ ಪೂರ್ಣಾಂಕಗಳ ಗುಂಪು (a, b, c).","A set of three positive integers (a, b, c) such that a² + b² = c².","(3, 4, 5) ಒಂದು ಪೈಥಾಗೋರಸ್ ತ್ರಿವಳಿ, ಏಕೆಂದರೆ 3² + 4² = 9 + 16 = 25 = 5².","(3, 4, 5) is a Pythagorean triplet because 3² + 4² = 5².",Forms the sides of a right-angled triangle!
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ತ್ರಿಕೋನ ಸಂಖ್ಯೆಗಳು,Triangular Numbers,Trikoana Sankhyegalu,Number Patterns,Important,5,"ಬಿಂದುಗಳನ್ನು ಸಮಬಾಹು ತ್ರಿಕೋನದ ಆಕಾರದಲ್ಲಿ ಜೋಡಿಸಿದಾಗ ಸಿಗುವ ಸಂಖ್ಯೆಗಳು: 1, 3, 6, 10, 15...",Numbers that can be represented as an equilateral triangular grid of dots: T_n = n(n+1)/2.,4 ನೇ ತ್ರಿಕೋನ ಸಂಖ್ಯೆ = 1 + 2 + 3 + 4 = 10.,The 4th triangular number is 1 + 2 + 3 + 4 = 10.,Two consecutive triangular numbers always add up to a square number!
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಘಾತ,Power,Ghaata,Exponents & Powers,Core / Essential,106,ಆಧಾರ ಸಂಖ್ಯೆ ಮತ್ತು ಘಾತಾಂಕವನ್ನು ಒಳಗೊಂಡಿರುವ ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ (ಉದಾ: aⁿ).,An expression that represents repeated multiplication of the same factor.,2 ರ 3 ನೇ ಘಾತವು 8 (2³ = 8).,2 to the power 3 equals 8 (2³ = 8).,'Power' gives rapid geometric growth.
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಘಾತಾಂಕ,Exponent / Index,Ghaataanka,Exponents & Powers,Core / Essential,44,ಒಂದು ಆಧಾರ ಸಂಖ್ಯೆಯನ್ನು ಎಷ್ಟು ಬಾರಿ ಪುನರಾವರ್ತಿತವಾಗಿ ಗುಣಿಸಬೇಕು ಎಂದು ತೋರಿಸುವ ಸಂಖ್ಯೆ.,A quantity representing the power to which a given number or expression is to be raised.,10⁵ ರಲ್ಲಿ 5 ಘಾತಾಂಕವಾಗಿದೆ.,"In 10⁵, 5 is the exponent.","Exponent sits on top like a superscript hat, counting multiplications."
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಘನ,Cube,Ghana,Arithmetic & Powers,Core / Essential,15,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಮೂರು ಬಾರಿ ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಗುಣಲಬ್ಧ.,"The product of a number multiplied by itself three times (e.g., n × n × n = n³).",4 ರ ಘನ 64 (4³ = 64).,The cube of 4 is 64 (4³ = 64).,Think of a 3D 'Cube' block: Volume = length × width × height.
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ವರ್ಗ,Square,Varga,Arithmetic & Powers,Core / Essential,12,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಗುಣಲಬ್ಧ.,"The result obtained by multiplying a number by itself (e.g., n × n = n²).",5 ರ ವರ್ಗ 25 (5² = 25).,The square of 5 is 25 (5² = 25).,Think of a geometric 'Square' with equal sides: Area = side × side.
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಪ್ರಮಾಣಿತ ರೂಪ,Standard Form / Scientific Notation,Pramaanitha Roopa,Scientific Notation,Core / Essential,9,ಅತಿ ದೊಡ್ಡ ಅಥವಾ ಅತಿ ಸಣ್ಣ ಸಂಖ್ಯೆಗಳನ್ನು m × 10ⁿ ರೂಪದಲ್ಲಿ ಬರೆಯುವ ವಿಧಾನ (1 ≤ m < 10).,A way of writing very large or very small numbers using powers of ten (m × 10ⁿ).,ಭೂಮಿಯ ದ್ರವ್ಯರಾಶಿ 5.97 × 10²⁴ kg ಪ್ರಮಾಣಿತ ರೂಪದಲ್ಲಿದೆ.,The mass of Earth in scientific notation is 5.97 × 10²⁴ kg.,Standard form keeps one non-zero digit before the decimal point.
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಆಧಾರ ಸಂಖ್ಯೆ,Base (Base Number),Aadhaara Sankhye,Exponents & Powers,Core / Essential,2,ಘಾತಾಂಕದಲ್ಲಿ ಪುನರಾವರ್ತಿತವಾಗಿ ಗುಣಿಸಲ್ಪಡುವ ಮೂಲ ಸಂಖ್ಯೆ.,The number that is being repeatedly multiplied by itself in an exponential expression.,2⁴ ರಲ್ಲಿ 2 ಆಧಾರ ಸಂಖ್ಯೆ ಮತ್ತು 4 ಘಾತಾಂಕವಾಗಿದೆ.,"In 2⁴, 2 is the base and 4 is the exponent.",Base is the foundation on the bottom upon which exponents stand.
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಘಾತಾಂಕಗಳ ನಿಯಮಗಳು,Laws of Exponents,Ghaataankagala Niyamagalu,Exponents & Powers,Core / Essential,0,ಘಾತಾಂಕಗಳ ಮೇಲಿನ ಲೆಕ್ಕಾಚಾರಗಳನ್ನು ಸರಳಗೊಳಿಸುವ ಗಣಿತದ ನಿಯಮಗಳು (ಉದಾ: aᵐ × aⁿ = aᵐ⁺ⁿ).,Mathematical rules that describe how to manipulate and simplify exponential expressions.,aᵐ × aⁿ = aᵐ⁺ⁿ ಮತ್ತು aᵐ / aⁿ = aᵐ⁻ⁿ.,aᵐ × aⁿ = aᵐ⁺ⁿ and aᵐ / aⁿ = aᵐ⁻ⁿ.,Multiply same bases -> Add exponents; Divide -> Subtract exponents.
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಋಣ ಘಾತಾಂಕ,Negative Exponent,Runa Ghaataanka,Exponents & Powers,Core / Essential,0,"ಋಣಾತ್ಮಕ ಸಂಖ್ಯೆಯಾಗಿರುವ ಘಾತಾಂಕ, ಇದು ಗುಣಾಕಾರದ ವಿಲೋಮವನ್ನು (1/aⁿ) ಪ್ರತಿನಿಧಿಸುತ್ತದೆ.","An exponent with a negative sign, representing the reciprocal: a⁻ⁿ = 1/aⁿ.",10⁻² = 1 / 10² = 1 / 100 = 0.01.,10⁻² = 1 / 10² = 1 / 100 = 0.01.,Negative exponent flips the number upside down to the denominator!
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಅಪವರ್ತನ,Factor / Divisor,Apavartana,Divisibility & Factors,Important,6,ಕೊಟ್ಟಿರುವ ಸಂಖ್ಯೆಯನ್ನು ಶೇಷವಿಲ್ಲದೆ (ನಿಶ್ಶೇಷವಾಗಿ) ಭಾಗಿಸುವ ಸಂಖ್ಯೆ.,A whole number that divides another number exactly without leaving a remainder.,"12 ರ ಅಪವರ್ತನಗಳು 1, 2, 3, 4, 6, 12.","The factors of 12 are 1, 2, 3, 4, 6, and 12.",Factors are whole parts that multiply to build the number.
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ಶೂನ್ಯ,Zero,Shoonya,Number Systems,Important,5,ಏನೂ ಇಲ್ಲದಿರುವುದನ್ನು ಅಥವಾ ಸ್ಥಾನ ಹಿಡುಕವನ್ನು (place holder) ಸೂಚಿಸುವ ಮಹತ್ವದ ಗಣಿತೀಯ ಸಂಕೇತ.,"The integer denoting nothingness or nullity, acting as a crucial place holder in positional systems.",ಭಾರತೀಯ ಗಣಿತಜ್ಞ ಬ್ರಹ್ಮಗುಪ್ತರು ಶೂನ್ಯದ ಗಣಿತೀಯ ನಿಯಮಗಳನ್ನು ನಿರೂಪಿಸಿದರು.,Indian mathematician Brahmagupta formulated the arithmetic rules of zero.,Zero is both a number and a place-holder placeholder.
2,ಘಾತಾಂಕಗಳ ಆಟ,Playing with Exponents and Powers,pp. 39-69,ವೃತ್ತ,Circle,Vritta,Geometry,Important,4,ಸ್ಥಿರ ಬಿಂದುವಿನಿಂದ (ಕೇಂದ್ರ) ಸಮಾನ ದೂರದಲ್ಲಿರುವ ಎಲ್ಲಾ ಸಮತಲ ಬಿಂದುಗಳ ಪಥ.,A round plane figure whose boundary consists of points equidistant from a fixed center.,ವೃತ್ತದ ಕೇಂದ್ರದಿಂದ ಪರಿಧಿಗೆ ಇರುವ ದೂರವೇ ತ್ರಿಜ್ಯ (r).,The distance from the center of a circle to its boundary is radius (r).,"Perfect round shape, 360° total angle."
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ಸಂಖ್ಯಾ ಪದ್ಧತಿ,Numeral System,Sankhyaa Paddhati,Number Systems,Core / Essential,59,ಸಂಖ್ಯೆಗಳನ್ನು ಸಂಕೇತಗಳ ಮೂಲಕ ಪ್ರತಿನಿಧಿಸುವ ಮತ್ತು ಎಣಿಕೆ ಮಾಡುವ ವ್ಯವಸ್ಥೆ.,A writing system for expressing numbers using consistent symbols and rules.,ದಶಮಾನ ಸಂಖ್ಯಾ ಪದ್ಧತಿಯಲ್ಲಿ 0 ರಿಂದ 9 ರವರೆಗಿನ ಅಂಕಿಗಳನ್ನು ಬಳಸುತ್ತೇವೆ.,"In the decimal numeral system, we use digits from 0 to 9.","Includes Roman, Babylonian, Egyptian, and Hindu-Arabic systems."
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ಆಧಾರ ಸಂಖ್ಯೆ,Base (Base Number),Aadhaara Sankhye,Exponents & Powers,Core / Essential,53,ಘಾತಾಂಕದಲ್ಲಿ ಪುನರಾವರ್ತಿತವಾಗಿ ಗುಣಿಸಲ್ಪಡುವ ಮೂಲ ಸಂಖ್ಯೆ.,The number that is being repeatedly multiplied by itself in an exponential expression.,2⁴ ರಲ್ಲಿ 2 ಆಧಾರ ಸಂಖ್ಯೆ ಮತ್ತು 4 ಘಾತಾಂಕವಾಗಿದೆ.,"In 2⁴, 2 is the base and 4 is the exponent.",Base is the foundation on the bottom upon which exponents stand.
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ಘಾತ,Power,Ghaata,Exponents & Powers,Core / Essential,23,ಆಧಾರ ಸಂಖ್ಯೆ ಮತ್ತು ಘಾತಾಂಕವನ್ನು ಒಳಗೊಂಡಿರುವ ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ (ಉದಾ: aⁿ).,An expression that represents repeated multiplication of the same factor.,2 ರ 3 ನೇ ಘಾತವು 8 (2³ = 8).,2 to the power 3 equals 8 (2³ = 8).,'Power' gives rapid geometric growth.
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ಸ್ಥಾನಬೆಲೆ,Place Value,Sthaanabele,Number Systems,Core / Essential,15,"ಒಂದು ಸಂಖ್ಯೆಯಲ್ಲಿ ಅಂಕಿಯು ಇರುವ ಸ್ಥಾನಕ್ಕೆ ಅನುಗುಣವಾಗಿ ಪಡೆಯುವ ಮೌಲ್ಯ (ಬಿಡಿ, ಹತ್ತು, ನೂರು...).",The numerical value that a digit has by virtue of its position in a number.,352 ರಲ್ಲಿ 5 ರ ಸ್ಥಾನಬೆಲೆ 50 (ಹತ್ತರ ಸ್ಥಾನ).,"In 352, the place value of 5 is 50 (tens place).",Position decides the power of ten each digit represents.
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ಶೂನ್ಯ,Zero,Shoonya,Number Systems,Core / Essential,10,ಏನೂ ಇಲ್ಲದಿರುವುದನ್ನು ಅಥವಾ ಸ್ಥಾನ ಹಿಡುಕವನ್ನು (place holder) ಸೂಚಿಸುವ ಮಹತ್ವದ ಗಣಿತೀಯ ಸಂಕೇತ.,"The integer denoting nothingness or nullity, acting as a crucial place holder in positional systems.",ಭಾರತೀಯ ಗಣಿತಜ್ಞ ಬ್ರಹ್ಮಗುಪ್ತರು ಶೂನ್ಯದ ಗಣಿತೀಯ ನಿಯಮಗಳನ್ನು ನಿರೂಪಿಸಿದರು.,Indian mathematician Brahmagupta formulated the arithmetic rules of zero.,Zero is both a number and a place-holder placeholder.
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ದಶಮಾನ ಪದ್ಧತಿ,Decimal System (Base 10),Dashamaana Paddhati,Number Systems,Core / Essential,2,10 ನ್ನು ಆಧಾರವಾಗಿಟ್ಟುಕೊಂಡು (0-9 ಅಂಕಿಗಳು) ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಸಂಖ್ಯಾ ಪದ್ಧತಿ.,A base-10 positional numeral system utilizing ten distinct digits (0 to 9).,ನಾವು ಬಳಸುವ ಆಧುನಿಕ ಸಂಖ್ಯಾ ಪದ್ಧತಿಯು ದಶಮಾನ ಪದ್ಧತಿಯಾಗಿದೆ.,The modern numerical system we use daily is the decimal system.,"Deci- means 10, inspired by our 10 fingers."
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ಮಣಿಕಟ್ಟು / ಅಬಾಕಸ್,Abacus,Manikattu / Abacus,Calculation Tools,Core / Essential,1,ತಂತಿಗಳ ಮೇಲೆ ಮಣಿಗಳನ್ನು ಸರಿಸಿ ಲೆಕ್ಕಾಚಾರ ಮಾಡಲು ಬಳಸುತ್ತಿದ್ದ ಪ್ರಾಚೀನ ಎಣಿಕೆಯ ಸಾಧನ.,An ancient manual counting device consisting of beads moving on rods or grooves.,ಸ್ಥಾನಬೆಲೆಯ ಕಲ್ಪನೆಯನ್ನು ಅರಿಯಲು ಅಬಾಕಸ್ ಸಹಾಯಕವಾಗಿದೆ.,The abacus is helpful for understanding positional place values.,The world's earliest mechanical calculator.
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ಮುಖಬೆಲೆ,Face Value,Mukhabele,Number Systems,Core / Essential,0,"ಅಂಕಿಯ ಸ್ವಂತ ಮೌಲ್ಯ, ಅದು ಯಾವುದೇ ಸ್ಥಾನದಲ್ಲಿದ್ದರೂ ಬದಲಾಗುವುದಿಲ್ಲ.","The actual value of the digit itself, regardless of its position in the number.",748 ರಲ್ಲಿ 7 ರ ಮುಖಬೆಲೆ 7 ಆಗಿದೆ.,"In 748, the face value of 7 is simply 7.",Face value is what the digit looks like in mirror.
3,ಸಂಖ್ಯೆಗಳ ಕಥೆ,The Story of Numbers,pp. 70-103,ವರ್ಗ,Square,Varga,Arithmetic & Powers,Important,5,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಗುಣಲಬ್ಧ.,"The result obtained by multiplying a number by itself (e.g., n × n = n²).",5 ರ ವರ್ಗ 25 (5² = 25).,The square of 5 is 25 (5² = 25).,Think of a geometric 'Square' with equal sides: Area = side × side.
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ಚತುರ್ಭುಜ,Quadrilateral,Chaturbhuja,Geometry,Core / Essential,208,ನಾಲ್ಕು ಸರಳ ರೇಖಾಖಂಡಗಳಿಂದ ಆವೃತವಾದ ಸಮತಲ ಆಕೃತಿ (ನಾಲ್ಕು ಬಾಹುಗಳು ಮತ್ತು ನಾಲ್ಕು ಕೋನಗಳು).,A four-sided polygon having four vertices and four angles.,ಚತುರ್ಭುಜದ ನಾಲ್ಕು ಒಳಕೋನಗಳ ಮೊತ್ತ 360° ಆಗಿದೆ.,The sum of the four interior angles of a quadrilateral is 360°.,"Quad = 4, Lateral = side."
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ಕರ್ಣ,Diagonal,Karna,Geometry,Core / Essential,128,ಬಹುಭುಜಾಕೃತಿಯ ಯಾವುದೇ ಎರಡು ಅನುಕ್ರಮವಲ್ಲದ (ಅಕ್ಕಪಕ್ಕದಲ್ಲದ) ಶೃಂಗಗಳನ್ನು ಜೋಡಿಸುವ ಸರಳರೇಖೆ.,A straight line segment joining two non-consecutive vertices of a polygon.,ಚತುರ್ಭುಜವು 2 ಕರ್ಣಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ.,A quadrilateral has 2 diagonals.,Cross line connecting opposite corners.
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ಆಯತ,Rectangle,Aayatha,Geometry,Core / Essential,88,ಎಲ್ಲಾ ಕೋನಗಳು 90° (ಲಂಬಕೋನ) ಮತ್ತು ಅಭಿಮುಖ ಬಾಹುಗಳು ಸಮನಾಗಿರುವ ಚತುರ್ಭುಜ.,An equiangular quadrilateral where all four angles are right angles (90°) and opposite sides are equal.,ಆಯತದ ಕರ್ಣಗಳು ಪರಸ್ಪರ ಸಮ ಮತ್ತು ಅರ್ಧಿಸುತ್ತವೆ.,The diagonals of a rectangle are equal and bisect each other.,"Opposite sides equal, 4 right angles."
